no	pattern_name	attributes	algorithm	id	plus_month_rate	plus_days_rate	description	bettype	bet_kumiban	pattern	ranktype	waku	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt	avg_hitamt	dev_hitamt	max_hitamt	total_month	total_days
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.29	0.21	0017	3F	126	4_6	norm3f_123	126	42	8	4200	9350	5150	0.19	2.23	5	12	7	1169	569	1890	21	39
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.50	0.14	0017	3F	126	5_5	norm3f_12	12	154	19	15400	21060	5660	0.12	1.37	21	28	7	1094	427	2140	22	127
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.50	0.14	0017	3F	126	5_5	norm3f_123	126	154	19	15400	21060	5660	0.12	1.37	21	28	7	1094	427	2140	22	127
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.50	0.29	0017	3F	135	4_4	norm3f_123	135	205	51	20500	23390	2890	0.25	1.14	28	32	4	447	220	1090	24	162
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.71	0.67	0017	1T	1	3_3	norm1t_23	23	124	82	12400	14020	1620	0.66	1.13	17	19	2	166	70	480	24	110
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.58	0.55	0017	1T	1	4_3	norm1t_23	45	150	85	15000	16630	1630	0.57	1.11	20	22	2	192	112	610	24	125
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.73	0.56	0017	1T	2	4_3	norm1t_23	36	26	14	2600	4680	2080	0.54	1.80	3	6	3	323	119	570	15	25
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.39	0.44	0017	2F	23	7_3	norm2f_12	23	33	14	3300	5530	2230	0.42	1.68	4	7	3	395	176	770	18	32
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.57	0.46	0017	2T	13	1_2	norm2t_3	4	55	25	5500	7540	2040	0.45	1.37	7	10	3	304	125	770	21	52
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.40	0.32	0017	2T	15	3_4	norm2t_3	6	40	12	4000	6300	2300	0.30	1.58	5	8	3	525	135	790	20	37
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.65	0.70	0017	1T	2	1_2	norm1t_23	44	28	19	2800	4650	1850	0.68	1.66	3	6	3	240	84	410	17	27
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.57	0.50	0017	1T	2	3_3	norm1t_23	35	44	21	4400	6110	1710	0.48	1.39	6	8	2	286	149	630	21	40
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.46	0.33	0017	2T	1=	3_2	form2t2_23	25	420	80	42000	49280	7280	0.19	1.17	57	67	10	597	469	2640	24	167
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.63	0.38	0017	2T	1=	3_3	form2t2_23	26	768	137	76800	93060	16260	0.18	1.21	105	127	22	673	704	4460	24	267
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.50	0.29	0017	3F	135	4_4	norm3f_12	13	205	51	20500	23390	2890	0.25	1.14	28	32	4	447	220	1090	24	162
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.50	0.11	0017	3T	126	5_5	norm3t_0	0	154	15	15400	32900	17500	0.10	2.14	21	45	24	2211	885	4700	22	127
16	turn+alevelcnt	ranknationrate	bayes	b_r_turn+aleve	0.26	0.13	0017	3T	136	3_6	norm3t_0	0	54	7	5400	14490	9090	0.13	2.68	7	19	12	2070	532	2930	23	52
3	racetype	entry	bayes	b_e_racetype	0.58	0.54	0019	1T	1	1	norm1t_23	11	105	58	10500	12210	1710	0.55	1.16	14	16	2	211	98	620	24	98
3	racetype	entry	bayes	b_e_racetype	0.42	0.13	0019	3F	126	6	norm3f_12	12	203	22	20300	26320	6020	0.11	1.30	27	36	9	1184	524	2330	24	168
3	racetype	entry	bayes	b_e_racetype	0.50	0.23	0019	3F	134	1	norm3f_12	41	99	22	9900	12810	2910	0.22	1.29	13	17	4	572	331	1160	24	91
3	racetype	entry	bayes	b_e_racetype	0.50	0.15	0019	3T	123	2	norm3t_0	0	386	44	38600	53740	15140	0.11	1.39	52	73	21	1262	1009	4990	24	272
3	racetype	entry	bayes	b_e_racetype	0.50	0.23	0019	2T	15	2	norm2t_3	4	79	18	7900	10890	2990	0.23	1.38	10	14	4	607	248	1130	24	75
3	racetype	entry	bayes	b_e_racetype	0.58	0.21	0019	2T	21	1	norm2t_3	3	520	84	52000	63890	11890	0.16	1.23	71	87	16	772	579	4150	24	367
3	racetype	entry	bayes	b_e_racetype	0.36	0.15	0019	2T	42	1	norm2t_3	4	73	10	7300	15020	7720	0.14	2.06	10	20	10	1502	969	2890	22	65
3	racetype	entry	bayes	b_e_racetype	0.68	0.36	0019	3F	123	7	norm3f_12	13	74	25	7400	10340	2940	0.34	1.40	10	14	4	414	150	730	22	70
3	racetype	entry	bayes	b_e_racetype	0.68	0.36	0019	3F	123	7	norm3f_123	132	74	25	7400	10340	2940	0.34	1.40	10	14	4	414	150	730	22	70
3	racetype	entry	bayes	b_e_racetype	0.42	0.13	0019	3F	126	6	norm3f_123	126	203	22	20300	26320	6020	0.11	1.30	27	36	9	1184	524	2330	24	168
3	racetype	entry	bayes	b_e_racetype	0.50	0.23	0019	3F	134	1	norm3f_123	413	99	22	9900	12810	2910	0.22	1.29	13	17	4	572	331	1160	24	91
3	racetype	entry	bayes	b_e_racetype	0.69	0.47	0019	1T	3	else	norm1t_23	12	19	9	1900	5080	3180	0.47	2.67	2	6	4	564	407	1270	13	19
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.75	0.60	0020	1T	1	05	norm1t_23	25	255	158	25500	29820	4320	0.62	1.17	34	40	6	191	114	850	24	183
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.64	0.54	0020	1T	1	06	norm1t_23	66	83	45	8300	10190	1890	0.54	1.23	11	13	2	218	110	730	22	74
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.91	0.95	0020	1T	1	12	norm1t_23	12	22	21	2200	2720	520	0.95	1.24	3	3	0	127	23	170	11	21
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.65	0.62	0020	1T	1	15	norm1t_23	45	42	26	4200	5750	1550	0.62	1.37	5	7	2	216	151	610	23	39
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.58	0.77	0020	1T	1	23	norm1t_23	32	61	47	6100	7270	1170	0.77	1.19	8	9	1	152	62	430	19	60
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.57	0.45	0020	1T	2	01	norm1t_23	26	70	31	7000	8790	1790	0.44	1.26	9	12	3	284	118	580	23	65
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.80	0.82	0020	1T	2	05	norm1t_23	44	11	9	1100	2300	1200	0.82	2.09	1	3	2	275	111	470	10	11
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.86	0.54	0020	2F	12	06	norm2f_12	21	13	7	1300	3350	2050	0.54	2.58	1	4	3	479	148	770	7	13
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.50	0.18	0020	3T	123	03	norm3t_0	0	211	29	21100	25180	4080	0.14	1.19	28	34	6	842	280	1510	24	154
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.61	0.22	0020	3T	123	06	norm3t_0	0	260	45	26000	31420	5420	0.17	1.21	35	43	8	696	307	1930	23	190
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.75	0.78	0020	1T	5	04	norm1t_23	56	9	7	900	2380	1480	0.78	2.64	1	3	2	340	66	420	8	9
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.50	0.24	0020	2T	15	20	norm2t_3	5	139	30	13900	17910	4010	0.22	1.29	19	24	5	578	309	1440	24	120
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.67	0.57	0020	2T	42	04	norm2t_3	6	7	4	700	3200	2500	0.57	4.57	0	4	4	800	82	930	6	7
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.63	0.22	0020	3F	136	02	norm3f_12	13	177	33	17700	24370	6670	0.19	1.38	24	33	9	696	486	2530	24	138
11	jyocd	ranknationrate	bayes	b_r_jyocd	0.63	0.22	0020	3F	136	02	norm3f_123	136	177	33	17700	24370	6670	0.19	1.38	24	33	9	696	486	2530	24	138
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.54	0.51	0021	1T	1	3_1	norm1t_23	26	740	393	74000	78280	4280	0.53	1.06	101	107	6	200	108	1110	24	401
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	1.00	0.84	0021	1T	1	3_2	norm1t_23	55	19	16	1900	2850	950	0.84	1.50	2	3	1	173	71	350	10	19
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.62	0.62	0021	1T	1	4_3	norm1t_23	45	89	56	8900	11210	2310	0.63	1.26	12	15	3	201	121	710	21	66
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.63	0.61	0021	1T	1	7_3	norm1t_23	45	265	159	26500	28840	2340	0.60	1.09	36	39	3	183	105	730	24	208
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.57	0.50	0021	1T	2	1_1	norm1t_23	45	61	30	6100	8050	1950	0.49	1.32	8	11	3	275	152	700	21	58
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.58	0.33	0021	2T	12	3_1	norm2t_3	6	740	179	74000	80660	6660	0.24	1.09	101	110	9	445	253	1430	24	401
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.55	0.44	0021	2T	12	7_7	norm2t_3	5	55	23	5500	6990	1490	0.42	1.27	7	9	2	305	66	460	20	50
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.65	0.39	0021	2T	13	4_else	norm2t_3	4	113	33	11300	15210	3910	0.29	1.35	15	20	5	456	255	1380	17	62
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.58	0.25	0021	2T	15	4_1	norm2t_3	5	229	48	22900	29240	6340	0.21	1.28	31	40	9	608	422	2120	24	179
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.54	0.20	0021	3F	126	2_1	norm3f_123	216	87	16	8700	14810	6110	0.18	1.70	11	20	9	926	397	1950	24	76
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.46	0.16	0021	3F	126	5_6	norm3f_123	126	115	17	11500	15800	4300	0.15	1.37	15	21	6	989	377	1640	24	105
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.54	0.44	0021	3F	345	3_1	norm3f_123	345	16	7	1600	3270	1670	0.44	2.04	2	4	2	451	118	640	13	16
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.41	0.33	0021	3T	123	2_4	norm3t_0	0	27	9	2700	5320	2620	0.33	1.97	3	7	4	583	134	940	17	27
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.47	0.48	0021	2F	12	5_3	norm2f_12	21	25	12	2500	5570	3070	0.48	2.23	3	7	4	464	246	940	19	25
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.54	0.44	0021	3F	345	3_1	norm3f_12	34	16	7	1600	3270	1670	0.44	2.04	2	4	2	451	118	640	13	16
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.50	0.08	0021	3T	126	1_4	norm3t_0	0	231	15	23100	32850	9750	0.06	1.42	31	45	14	2244	758	3760	24	179
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.50	0.14	0021	3T	126	3_1	norm3t_0	0	740	64	74000	88730	14730	0.09	1.20	101	121	20	1348	871	4380	24	401
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.29	0.09	0021	3T	216	2_1	norm3t_0	0	87	7	8700	24010	15310	0.08	2.76	11	32	21	3430	867	4180	24	76
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.30	0.40	0021	2F	23	1_1	norm2f_12	32	15	6	1500	4150	2650	0.40	2.77	2	5	3	667	269	990	10	15
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.54	0.20	0021	3F	126	2_1	norm3f_12	21	87	16	8700	14810	6110	0.18	1.70	11	20	9	926	397	1950	24	76
19	turn+racetype	ranknationrate	bayes	b_r_turn+racet	0.46	0.16	0021	3F	126	5_6	norm3f_12	12	115	17	11500	15800	4300	0.15	1.37	15	21	6	989	377	1640	24	105
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.82	0.84	0022	1T	1	4_9	norm1t_23	55	25	21	2500	3660	1160	0.84	1.46	3	5	2	174	81	390	17	25
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.61	0.67	0022	1T	1	5_3	norm1t_23	35	68	46	6800	8210	1410	0.68	1.21	9	11	2	176	81	550	23	67
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.67	0.73	0022	1T	1	5_7	norm1t_23	24	108	79	10800	12330	1530	0.73	1.14	14	16	2	154	56	370	24	100
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.72	0.68	0022	1T	1	5_7	norm1t_23	66	23	16	2300	3420	1120	0.70	1.49	3	4	1	211	88	400	18	22
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.54	0.69	0022	1T	1	7_10	norm1t_23	23	135	97	13500	14510	1010	0.72	1.07	18	19	1	148	50	350	24	119
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.67	0.71	0022	1T	1	7_6	norm1t_23	26	123	89	12300	13510	1210	0.72	1.10	16	18	2	152	49	320	24	113
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.83	0.81	0022	1T	1	7_6	norm1t_23	56	16	13	1600	2720	1120	0.81	1.70	2	3	1	211	77	340	12	16
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.55	0.61	0022	1T	2	1_7	norm1t_23	24	38	23	3800	4990	1190	0.61	1.31	5	6	1	222	94	430	22	38
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.53	0.47	0022	1T	2	5_2	norm1t_23	24	30	14	3000	4920	1920	0.47	1.64	4	6	2	351	159	730	15	30
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.50	0.56	0022	2F	23	1_7	norm2f_12	23	17	9	1700	3480	1780	0.53	2.05	2	4	2	387	182	650	12	16
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.55	0.23	0022	3F	134	4_11	norm3f_12	14	91	20	9100	15080	5980	0.22	1.66	12	20	8	754	457	2190	22	87
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.54	0.17	0022	3T	123	1_11	norm3t_0	0	169	25	16900	25350	8450	0.15	1.50	23	34	11	1010	481	2970	24	147
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.54	0.55	0022	1T	1	2_3	norm1t_23	35	107	58	10700	12350	1650	0.54	1.15	14	16	2	210	101	630	24	100
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.57	0.58	0022	1T	1	2_8	norm1t_23	26	121	70	12100	14890	2790	0.58	1.23	16	20	4	215	123	980	23	112
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.67	0.73	0022	1T	1	3_5	norm1t_23	33	30	22	3000	4080	1080	0.73	1.36	4	5	1	177	90	390	21	30
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.72	0.71	0022	1T	1	3_5	norm1t_23	55	31	22	3100	4910	1810	0.71	1.58	4	6	2	228	131	650	18	31
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.67	0.73	0022	2T	12	3_3	norm2t_3	2	11	8	1100	2500	1400	0.73	2.27	1	3	2	313	107	550	9	11
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.67	0.33	0022	2T	12	3_5	norm2t_3	6	107	35	10700	16150	5450	0.33	1.51	14	22	8	444	356	2110	24	98
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.62	0.53	0022	2T	12	3_7	norm2t_3	2	21	11	2100	3340	1240	0.52	1.59	2	4	2	304	85	490	13	19
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.61	0.36	0022	2T	12	7_3	norm2t_3	3	98	34	9800	11770	1970	0.35	1.20	13	16	3	350	106	700	23	89
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.58	0.34	0022	2T	13	2_10	norm2t_3	5	122	40	12200	15610	3410	0.33	1.28	16	21	5	378	187	1340	24	115
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.67	0.47	0022	2T	13	5_3	norm2t_3	3	34	16	3400	4670	1270	0.47	1.37	4	6	2	286	91	500	18	34
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.54	0.37	0022	3F	123	1_10	norm3f_12	12	180	63	18000	20480	2480	0.35	1.14	24	28	4	319	126	800	24	156
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.54	0.37	0022	3F	123	1_10	norm3f_123	123	180	63	18000	20480	2480	0.35	1.14	24	28	4	319	126	800	24	156
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.60	0.22	0022	3F	126	4_11	norm3f_123	126	48	8	4800	11670	6870	0.17	2.43	6	16	10	1459	661	2620	5	36
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.45	0.31	0022	3T	13=	4_6	form3t4_3	4	288	23	28800	41200	12400	0.08	1.43	39	56	17	1698	1137	4400	22	65
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	1.00	1.00	0022	3T	23=	1_7	form3t4_3	5	16	4	1600	6580	4980	0.25	4.11	2	9	7	1645	251	1970	3	4
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.60	0.22	0022	3F	126	4_11	norm3f_12	12	48	8	4800	11670	6870	0.17	2.43	6	16	10	1459	661	2620	5	36
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.55	0.23	0022	3F	134	4_11	norm3f_123	143	91	20	9100	15080	5980	0.22	1.66	12	20	8	754	457	2190	22	87
18	turn+raceno	ranknationrate	bayes	b_r_turn+racen	0.58	0.25	0022	3T	123	7_9	norm3t_0	0	120	27	12000	16920	4920	0.23	1.41	16	23	7	631	243	1200	24	110
32	nopattern	ranknationrate	filter_bayes	f_r_nopattern	0.58	0.25	0041	2T	21	nopattern	norm2t_3	4	113	26	11300	17170	5870	0.23	1.52	15	23	8	681	316	1580	24	106
34	turn	ranknationrate	filter_bayes	f_r_turn	0.38	0.21	0042	3F	145	5	norm3f_12	15	29	6	2900	7430	4530	0.21	2.56	3	10	7	1238	371	1550	16	29
34	turn	ranknationrate	filter_bayes	f_r_turn	0.54	0.49	0042	1T	3	2	norm1t_23	51	72	34	7200	9830	2630	0.47	1.37	9	13	4	283	156	780	24	65
34	turn	ranknationrate	filter_bayes	f_r_turn	0.44	0.33	0042	2F	14	2	norm2f_12	41	49	15	4900	6780	1880	0.31	1.38	6	9	3	452	159	700	18	46
34	turn	ranknationrate	filter_bayes	f_r_turn	0.38	0.21	0042	3F	145	5	norm3f_123	154	29	6	2900	7430	4530	0.21	2.56	3	10	7	1238	371	1550	16	29
22	nopattern	entry	filter_bayes	f_e_nopattern	0.63	0.27	0043	1T	4	nopattern	norm1t_23	64	267	65	26700	39020	12320	0.24	1.46	36	53	17	570	615	3750	24	214
22	nopattern	entry	filter_bayes	f_e_nopattern	0.54	0.22	0043	2T	21	nopattern	norm2t_3	1	625	100	62500	70560	8060	0.16	1.13	85	96	11	716	495	3160	24	415
24	turn	entry	filter_bayes	f_e_turn	0.41	0.30	0044	2T	21	4	norm2t_3	2	47	14	4700	8740	4040	0.30	1.86	6	11	5	640	359	1480	22	47
24	turn	entry	filter_bayes	f_e_turn	0.35	0.10	0044	3T	156	3	norm3t_0	0	101	9	10100	21040	10940	0.09	2.08	13	28	15	2372	687	3580	23	92
24	turn	entry	filter_bayes	f_e_turn	0.46	0.18	0044	3F	125	1	norm3f_123	152	181	28	18100	24390	6290	0.15	1.35	24	33	9	943	702	2510	24	153
24	turn	entry	filter_bayes	f_e_turn	0.63	0.70	0044	1T	1	1	norm1t_23	13	94	69	9400	11050	1650	0.73	1.18	12	15	3	159	74	450	24	84
24	turn	entry	filter_bayes	f_e_turn	0.59	0.45	0044	1T	3	2	norm1t_23	31	90	40	9000	11670	2670	0.44	1.30	12	16	4	287	138	740	22	86
24	turn	entry	filter_bayes	f_e_turn	0.39	0.28	0044	1T	4	7	norm1t_23	26	38	10	3800	8120	4320	0.26	2.14	5	11	6	698	474	1590	18	36
24	turn	entry	filter_bayes	f_e_turn	0.46	0.18	0044	3F	125	1	norm3f_12	15	181	28	18100	24390	6290	0.15	1.35	24	33	9	943	702	2510	24	153
24	turn	entry	filter_bayes	f_e_turn	0.54	0.22	0044	3T	123	7	norm3t_0	0	360	60	36000	43480	7480	0.17	1.21	49	59	10	708	385	1820	24	258
21	jyocd	entry	filter_bayes	f_e_jyocd	0.71	0.78	0047	1T	1	05	norm1t_23	23	53	41	5300	6300	1000	0.77	1.19	7	8	1	148	59	380	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.79	0.83	0047	1T	1	05	norm1t_23	56	36	30	3600	4280	680	0.83	1.19	4	5	1	140	44	250	19	35
21	jyocd	entry	filter_bayes	f_e_jyocd	0.67	0.67	0047	1T	1	22	norm1t_23	23	91	60	9100	10920	1820	0.66	1.20	12	14	2	175	100	680	24	84
21	jyocd	entry	filter_bayes	f_e_jyocd	0.67	0.55	0047	1T	2	14	norm1t_23	14	34	17	3400	7820	4420	0.50	2.30	4	10	6	460	331	1380	18	31
21	jyocd	entry	filter_bayes	f_e_jyocd	0.52	0.25	0047	2F	15	18	norm2f_12	15	266	55	26600	31170	4570	0.21	1.17	36	42	6	578	340	1780	23	205
21	jyocd	entry	filter_bayes	f_e_jyocd	0.62	0.61	0047	2T	1=	05	form2t2_23	23	106	33	10600	13420	2820	0.31	1.27	14	18	4	397	182	970	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.62	0.43	0047	3T	12=	05	form3t4_3	3	212	22	21200	33410	12210	0.10	1.58	29	45	16	1437	856	3710	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.53	0.44	0047	3T	13=	17	form3t4_3	6	152	16	15200	29240	14040	0.11	1.92	20	40	20	1828	1060	4330	17	34
21	jyocd	entry	filter_bayes	f_e_jyocd	0.36	0.22	0047	3T	132	04	norm3t_0	0	27	6	2700	11130	8430	0.22	4.12	3	15	12	1855	644	2640	14	27
21	jyocd	entry	filter_bayes	f_e_jyocd	0.39	0.19	0047	3T	134	19	norm3t_0	0	73	13	7300	12360	5060	0.18	1.69	10	16	6	951	399	1480	23	63
21	jyocd	entry	filter_bayes	f_e_jyocd	0.81	0.82	0047	1T	1	08	norm1t_23	23	66	54	6600	7750	1150	0.82	1.17	9	10	1	139	49	330	21	61
21	jyocd	entry	filter_bayes	f_e_jyocd	0.75	0.80	0047	1T	1	24	norm1t_23	23	137	113	13700	14660	960	0.82	1.07	18	20	2	132	41	300	24	107
21	jyocd	entry	filter_bayes	f_e_jyocd	0.37	0.31	0047	1T	2	05	norm1t_23	15	27	9	2700	4680	1980	0.33	1.73	3	6	3	488	195	740	19	26
21	jyocd	entry	filter_bayes	f_e_jyocd	0.47	0.43	0047	1T	3	14	norm1t_23	64	23	10	2300	3990	1690	0.43	1.73	3	5	2	399	116	590	15	23
21	jyocd	entry	filter_bayes	f_e_jyocd	0.53	0.44	0047	1T	3	20	norm1t_23	55	27	12	2700	7630	4930	0.44	2.83	3	10	7	636	523	1910	17	27
21	jyocd	entry	filter_bayes	f_e_jyocd	0.50	0.47	0047	2F	13	21	norm2f_12	31	114	48	11400	13590	2190	0.42	1.19	15	18	3	275	135	720	22	100
21	jyocd	entry	filter_bayes	f_e_jyocd	0.65	0.40	0047	2T	1=	21	form2t2_23	53	106	23	10600	16670	6070	0.22	1.57	14	22	8	715	541	2130	23	47
21	jyocd	entry	filter_bayes	f_e_jyocd	0.42	0.28	0047	3F	126	15	norm3f_12	12	38	10	3800	9800	6000	0.26	2.58	5	13	8	931	722	2210	19	36
21	jyocd	entry	filter_bayes	f_e_jyocd	0.67	0.45	0047	2T	12	05	norm2t_3	3	53	22	5300	7960	2660	0.42	1.50	7	10	3	359	148	780	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.50	0.44	0047	2T	12	06	norm2t_3	6	34	14	3400	5330	1930	0.41	1.57	4	7	3	377	142	680	18	32
21	jyocd	entry	filter_bayes	f_e_jyocd	0.61	0.39	0047	2T	12	16	norm2t_3	4	84	31	8400	10210	1810	0.37	1.22	11	14	3	337	138	660	23	80
21	jyocd	entry	filter_bayes	f_e_jyocd	0.57	0.41	0047	2T	13	04	norm2t_3	2	27	11	2700	5590	2890	0.41	2.07	3	7	4	508	252	970	14	27
21	jyocd	entry	filter_bayes	f_e_jyocd	0.44	0.40	0047	2T	13	05	norm2t_3	5	26	11	2600	4950	2350	0.42	1.90	3	6	3	436	198	880	16	25
21	jyocd	entry	filter_bayes	f_e_jyocd	0.53	0.44	0047	2T	13	17	norm2t_3	6	38	16	3800	6060	2260	0.42	1.59	5	8	3	379	170	820	17	34
21	jyocd	entry	filter_bayes	f_e_jyocd	0.43	0.27	0047	2T	14	10	norm2t_3	3	48	12	4800	7680	2880	0.25	1.60	6	10	4	640	245	1060	21	45
21	jyocd	entry	filter_bayes	f_e_jyocd	0.45	0.38	0047	2T	54	01	norm2t_3	5	13	5	1300	10810	9510	0.38	8.32	1	14	13	2162	739	3390	11	13
21	jyocd	entry	filter_bayes	f_e_jyocd	0.48	0.35	0047	3F	123	05	norm3f_12	12	53	18	5300	8810	3510	0.34	1.66	7	12	5	455	246	960	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.48	0.35	0047	3F	123	05	norm3f_123	123	53	18	5300	8810	3510	0.34	1.66	7	12	5	455	246	960	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.42	0.28	0047	3F	126	15	norm3f_123	126	38	10	3800	9800	6000	0.26	2.58	5	13	8	931	722	2210	19	36
21	jyocd	entry	filter_bayes	f_e_jyocd	0.25	0.27	0047	3F	146	04	norm3f_12	41	32	8	3200	6200	3000	0.25	1.94	4	8	4	775	247	1070	20	30
21	jyocd	entry	filter_bayes	f_e_jyocd	0.25	0.27	0047	3F	146	04	norm3f_123	416	32	8	3200	6200	3000	0.25	1.94	4	8	4	775	247	1070	20	30
21	jyocd	entry	filter_bayes	f_e_jyocd	0.48	0.22	0047	3T	123	05	norm3t_0	0	53	11	5300	15950	10650	0.21	3.01	7	21	14	1335	868	3710	21	49
21	jyocd	entry	filter_bayes	f_e_jyocd	0.46	0.19	0047	3T	123	24	norm3t_0	0	137	25	13700	17630	3930	0.18	1.29	18	24	6	693	299	1420	24	107
21	jyocd	entry	filter_bayes	f_e_jyocd	0.57	0.41	0047	3T	13=	04	form3t4_3	2	108	11	10800	19800	9000	0.10	1.83	14	27	13	1800	542	2640	14	27
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.76	0.82	0049	1T	1	02	norm1t_23	45	29	24	2900	3850	950	0.83	1.33	3	5	2	160	34	220	17	28
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.74	0.86	0049	1T	1	08	norm1t_23	25	67	58	6700	7460	760	0.87	1.11	9	10	1	130	38	280	23	65
31	jyocd	ranknationrate	filter_bayes	f_r_jyocd	0.50	0.40	0049	1T	3	05	norm1t_23	36	73	28	7300	9330	2030	0.38	1.28	10	12	2	324	172	740	22	68
