description	bettype	bet_kumiban	betcnt	hitcnt	betamt	hitamt	incomeamt	hitrate	incomerate	daily_betamt	daily_hitamt	daily_incomeamt
0023	3T	132	85	6	8500	5470	-3030	0.07	0.64	15	9	-6
0023	3T	134	4796	449	479600	358790	-120810	0.09	0.75	848	635	-213
0023	3T	135	4202	327	420200	314590	-105610	0.08	0.75	743	556	-187
0023	3T	136	2657	169	265700	221200	-44500	0.06	0.83	470	391	-79
0023	3T	142	71	4	7100	3330	-3770	0.06	0.47	12	5	-7
0023	3T	143	139	9	13900	13420	-480	0.06	0.97	24	23	-1
0023	3T	145	1395	78	139500	92850	-46650	0.06	0.67	246	164	-82
0023	3T	146	1025	56	102500	82130	-20370	0.05	0.80	181	145	-36
0023	3T	152	27	1	2700	1160	-1540	0.04	0.43	4	2	-2
0023	3T	153	68	2	6800	2260	-4540	0.03	0.33	12	4	-8
0023	3T	154	56	4	5600	5860	260	0.07	1.05	9	10	1
0023	3T	156	406	23	40600	36950	-3650	0.06	0.91	71	65	-6
0023	3T	162	2	0	200	0	-200	0.00	0.00	0	0	0
0023	3T	163	48	2	4800	1700	-3100	0.04	0.35	8	3	-5
0023	3T	164	37	3	3700	5230	1530	0.08	1.41	6	9	3
0023	3T	165	25	2	2500	2530	30	0.08	1.01	4	4	0
0023	3T	213	50	0	5000	0	-5000	0.00	0.00	8	0	-8
0023	3T	214	58	4	5800	7230	1430	0.07	1.25	10	12	2
0023	3T	215	90	2	9000	4330	-4670	0.02	0.48	15	7	-8
0023	3T	216	174	4	17400	15860	-1540	0.02	0.91	30	28	-2
0023	3T	234	103	4	10300	5880	-4420	0.04	0.57	18	10	-8
0023	3T	235	182	6	18200	5150	-13050	0.03	0.28	32	9	-23
0023	3T	236	150	11	15000	14070	-930	0.07	0.94	26	24	-2
0023	3T	241	1	0	100	0	-100	0.00	0.00	0	0	0
0023	3T	243	20	0	2000	0	-2000	0.00	0.00	3	0	-3
0023	3T	245	121	3	12100	7990	-4110	0.02	0.66	21	14	-7
0023	3T	246	130	7	13000	17770	4770	0.05	1.37	23	31	8
0023	3T	253	8	2	800	2680	1880	0.25	3.35	1	4	3
0023	3T	254	1	0	100	0	-100	0.00	0.00	0	0	0
0023	3T	256	61	3	6100	5150	-950	0.05	0.84	10	9	-1
0023	3T	261	2	0	200	0	-200	0.00	0.00	0	0	0
0023	3T	263	26	0	2600	0	-2600	0.00	0.00	4	0	-4
0023	3T	264	3	0	300	0	-300	0.00	0.00	0	0	0
0023	3T	265	2	0	200	0	-200	0.00	0.00	0	0	0
0024	1T	1	67548	38697	6754800	6207670	-547130	0.57	0.92	11955	10987	-968
0024	1T	2	5710	2196	571000	509820	-61180	0.38	0.89	1010	902	-108
0024	2F	12	38199	12407	3819900	3229250	-590650	0.32	0.85	6760	5715	-1045
0024	2F	13	15829	4871	1582900	1256110	-326790	0.31	0.79	2801	2223	-578
0024	2F	14	8619	2361	861900	668570	-193330	0.27	0.78	1525	1183	-342
0024	2F	15	2234	500	223400	205920	-17480	0.22	0.92	395	364	-31
0024	2F	16	1719	333	171900	166410	-5490	0.19	0.97	304	294	-10
0024	2F	23	316	66	31600	24520	-7080	0.21	0.78	55	43	-12
0024	2F	24	283	54	28300	18960	-9340	0.19	0.67	50	33	-17
0024	2F	25	252	39	25200	15960	-9240	0.15	0.63	44	28	-16
0024	2F	26	339	61	33900	33170	-730	0.18	0.98	60	58	-2
0024	2T	12	38152	9292	3815200	3109990	-705210	0.24	0.82	6752	5504	-1248
0024	2T	13	15829	3535	1582900	1233240	-349660	0.22	0.78	2801	2182	-619
0024	2T	14	8619	1696	861900	685420	-176480	0.20	0.80	1525	1213	-312
0024	2T	15	2234	343	223400	207730	-15670	0.15	0.93	395	367	-28
0024	2T	16	1719	238	171900	177340	5440	0.14	1.03	304	313	9
0024	2T	21	47	3	4700	3380	-1320	0.06	0.72	8	5	-3
0024	2T	23	316	38	31600	24900	-6700	0.12	0.79	55	44	-11
0024	2T	24	283	26	28300	15710	-12590	0.09	0.56	50	27	-23
0024	2T	25	252	28	25200	17800	-7400	0.11	0.71	44	31	-13
0024	2T	26	339	37	33900	31390	-2510	0.11	0.93	60	55	-5
0024	3F	123	9610	2520	961000	769610	-191390	0.26	0.80	1700	1362	-338
0024	3F	124	15772	3293	1577200	1182350	-394850	0.21	0.75	2791	2092	-699
0024	3F	125	6037	1075	603700	497330	-106370	0.18	0.82	1068	880	-188
0024	3F	126	5377	773	537700	454760	-82940	0.14	0.85	951	804	-147
0024	3F	134	5052	1137	505200	383500	-121700	0.23	0.76	894	678	-216
0024	3F	135	3401	639	340100	238850	-101250	0.19	0.70	601	422	-179
0024	3F	136	3327	526	332700	262620	-70080	0.16	0.79	588	464	-124
0024	3F	145	1387	264	138700	111840	-26860	0.19	0.81	245	197	-48
0024	3F	146	1176	151	117600	79140	-38460	0.13	0.67	208	140	-68
0024	3F	156	392	57	39200	38820	-380	0.15	0.99	69	68	-1
0024	3F	234	65	11	6500	5510	-990	0.17	0.85	11	9	-2
0024	3F	235	62	10	6200	3300	-2900	0.16	0.53	10	5	-5
0024	3F	236	98	14	9800	10470	670	0.14	1.07	17	18	1
0024	3F	245	47	6	4700	2110	-2590	0.13	0.45	8	3	-5
0024	3F	246	65	4	6500	1220	-5280	0.06	0.19	11	2	-9
0024	3F	256	43	6	4300	2230	-2070	0.14	0.52	7	3	-4
0024	3T	123	9372	1085	937200	783220	-153980	0.12	0.84	1658	1386	-272
0024	3T	124	15662	1368	1566200	1182210	-383990	0.09	0.75	2772	2092	-680
0024	3T	125	6027	450	602700	529140	-73560	0.07	0.88	1066	936	-130
0024	3T	126	5331	305	533100	457350	-75750	0.06	0.86	943	809	-134
0024	3T	132	237	25	23700	17100	-6600	0.11	0.72	41	30	-11
0024	3T	134	4940	489	494000	402750	-91250	0.10	0.82	874	712	-162
0024	3T	135	3368	255	336800	248140	-88660	0.08	0.74	596	439	-157
0024	3T	136	3306	220	330600	272570	-58030	0.07	0.82	585	482	-103
0024	3T	142	100	5	10000	6500	-3500	0.05	0.65	17	11	-6
0024	3T	143	112	8	11200	13300	2100	0.07	1.19	19	23	4
0024	3T	145	1372	94	137200	127200	-10000	0.07	0.93	242	225	-17
0024	3T	146	1148	55	114800	74970	-39830	0.05	0.65	203	132	-71
0024	3T	152	10	1	1000	1160	160	0.10	1.16	1	2	1
0024	3T	153	33	4	3300	6260	2960	0.12	1.90	5	11	6
0024	3T	154	15	3	1500	4590	3090	0.20	3.06	2	8	6
0024	3T	156	368	17	36800	30150	-6650	0.05	0.82	65	53	-12
0024	3T	162	11	0	1100	0	-1100	0.00	0.00	1	0	-1
0024	3T	163	21	3	2100	22080	19980	0.14	10.51	3	39	36
0024	3T	164	28	1	2800	1700	-1100	0.04	0.61	4	3	-1
0024	3T	165	24	0	2400	0	-2400	0.00	0.00	4	0	-4
0024	3T	213	1	0	100	0	-100	0.00	0.00	0	0	0
0024	3T	214	10	0	1000	0	-1000	0.00	0.00	1	0	-1
0024	3T	216	35	2	3500	11500	8000	0.06	3.29	6	20	14
0024	3T	234	64	2	6400	1710	-4690	0.03	0.27	11	3	-8
0024	3T	235	57	2	5700	2210	-3490	0.04	0.39	10	3	-7
0024	3T	236	96	5	9600	9130	-470	0.05	0.95	16	16	0
0024	3T	243	1	0	100	0	-100	0.00	0.00	0	0	0
0024	3T	245	44	2	4400	3010	-1390	0.05	0.68	7	5	-2
0024	3T	246	62	1	6200	390	-5810	0.02	0.06	10	0	-10
0024	3T	253	5	1	500	960	460	0.20	1.92	0	1	1
0024	3T	254	3	0	300	0	-300	0.00	0.00	0	0	0
0024	3T	256	39	2	3900	1440	-2460	0.05	0.37	6	2	-4
0024	3T	263	2	0	200	0	-200	0.00	0.00	0	0	0
0024	3T	264	3	0	300	0	-300	0.00	0.00	0	0	0
0024	3T	265	4	0	400	0	-400	0.00	0.00	0	0	0
0045	1T	1	21741	15254	2174100	1970290	-203810	0.70	0.91	3847	3487	-360
0045	1T	2	10128	3298	1012800	865850	-146950	0.33	0.85	1792	1532	-260
0045	2F	12	8362	3146	836200	687280	-148920	0.38	0.82	1480	1216	-264
0045	2F	13	5571	1775	557100	473130	-83970	0.32	0.85	986	837	-149
0045	2F	14	4458	1042	445800	352690	-93110	0.23	0.79	789	624	-165
0045	2F	15	3359	453	335900	263350	-72550	0.13	0.78	594	466	-128
0045	2F	16	1803	208	180300	159610	-20690	0.12	0.89	319	282	-37
0045	2F	23	603	81	60300	34460	-25840	0.13	0.57	106	60	-46
0045	2F	24	1638	208	163800	115220	-48580	0.13	0.70	289	203	-86
0045	2F	25	2269	218	226900	151630	-75270	0.10	0.67	401	268	-133
0045	2F	26	2175	163	217500	151800	-65700	0.07	0.70	384	268	-116
0045	2T	12	7283	2267	728300	576390	-151910	0.31	0.79	1289	1020	-269
0045	2T	13	4947	1279	494700	388360	-106340	0.26	0.79	875	687	-188
0045	2T	14	4232	821	423200	324510	-98690	0.19	0.77	749	574	-175
0045	2T	15	3226	361	322600	255330	-67270	0.11	0.79	570	451	-119
0045	2T	16	1680	171	168000	151050	-16950	0.10	0.90	297	267	-30
0045	2T	21	1079	144	107900	96140	-11760	0.13	0.89	190	170	-20
0045	2T	23	521	43	52100	27340	-24760	0.08	0.52	92	48	-44
0045	2T	24	1405	120	140500	93250	-47250	0.09	0.66	248	165	-83
0045	2T	25	2071	154	207100	146740	-60360	0.07	0.71	366	259	-107
0045	2T	26	1944	116	194400	138840	-55560	0.06	0.71	344	245	-99
0045	3F	123	2006	591	200600	168030	-32570	0.29	0.84	355	297	-58
0045	3F	124	3502	772	350200	261620	-88580	0.22	0.75	619	463	-156
0045	3F	125	2164	330	216400	166570	-49830	0.15	0.77	383	294	-89
0045	3F	126	2824	281	282400	222730	-59670	0.10	0.79	499	394	-105
0045	3F	134	2178	451	217800	175640	-42160	0.21	0.81	385	310	-75
0045	3F	135	1673	211	167300	128990	-38310	0.13	0.77	296	228	-68
0045	3F	136	1761	170	176100	136380	-39720	0.10	0.77	311	241	-70
0045	3F	145	1451	158	145100	109390	-35710	0.11	0.75	256	193	-63
0045	3F	146	1445	117	144500	107890	-36610	0.08	0.75	255	190	-65
0045	3F	156	1118	51	111800	78720	-33080	0.05	0.70	197	139	-58
0045	3F	234	108	7	10800	11320	520	0.06	1.05	19	20	1
0045	3F	235	107	5	10700	6600	-4100	0.05	0.62	18	11	-7
0045	3F	236	143	5	14300	8520	-5780	0.03	0.60	25	15	-10
0045	3F	245	159	6	15900	7710	-8190	0.04	0.48	28	13	-15
0045	3F	246	206	9	20600	6580	-14020	0.04	0.32	36	11	-25
0045	3F	256	294	12	29400	10430	-18970	0.04	0.35	52	18	-34
0045	3T	123	1398	215	139800	124450	-15350	0.15	0.89	247	220	-27
0045	3T	124	2384	257	238400	174430	-63970	0.11	0.73	421	308	-113
0045	3T	125	1002	97	100200	76000	-24200	0.10	0.76	177	134	-43
0045	3T	126	1861	107	186100	161990	-24110	0.06	0.87	329	286	-43
0045	3T	132	293	34	29300	23100	-6200	0.12	0.79	51	40	-11
0045	3T	134	1363	156	136300	126480	-9820	0.11	0.93	241	223	-18
0045	3T	135	913	63	91300	66000	-25300	0.07	0.72	161	116	-45
0011	1T	1	62085	36091	6208500	5763470	-445030	0.58	0.93	10988	10200	-788
0011	1T	2	6714	2110	671400	630080	-41320	0.31	0.94	1188	1115	-73
0011	2F	12	25955	7971	2595500	2264740	-330760	0.31	0.87	4593	4008	-585
0011	2F	13	15200	3744	1520000	1281780	-238220	0.25	0.84	2690	2268	-422
0011	2F	14	9313	1875	931300	718430	-212870	0.20	0.77	1648	1271	-377
0011	2F	15	3557	503	355700	291040	-64660	0.14	0.82	629	515	-114
0011	2F	16	1862	251	186200	183120	-3080	0.13	0.98	329	324	-5
0011	2F	23	1320	154	132000	89120	-42880	0.12	0.68	233	157	-76
0011	2F	24	770	99	77000	86910	9910	0.13	1.13	136	153	17
0011	2F	25	544	55	54400	42230	-12170	0.10	0.78	96	74	-22
0011	2F	26	403	43	40300	29190	-11110	0.11	0.72	71	51	-20
0011	2T	12	23908	5646	2390800	2017710	-373090	0.24	0.84	4231	3571	-660
0011	2T	13	15200	2892	1520000	1290400	-229600	0.19	0.85	2690	2283	-407
0011	2T	14	9313	1438	931300	702580	-228720	0.15	0.75	1648	1243	-405
0011	2T	15	3557	377	355700	304840	-50860	0.11	0.86	629	539	-90
0011	2T	16	1862	180	186200	187690	1490	0.10	1.01	329	332	3
0011	2T	21	2047	287	204700	212620	7920	0.14	1.04	362	376	14
0011	2T	23	1320	95	132000	94870	-37130	0.07	0.72	233	167	-66
0011	2T	24	770	66	77000	82650	5650	0.09	1.07	136	146	10
0011	2T	25	544	38	54400	42580	-11820	0.07	0.78	96	75	-21
0011	2T	26	403	28	40300	36660	-3640	0.07	0.91	71	64	-7
0011	3F	123	11530	2469	1153000	998400	-154600	0.21	0.87	2040	1767	-273
0011	3F	124	9016	1594	901600	710280	-191320	0.18	0.79	1595	1257	-338
0011	3F	125	5127	676	512700	420590	-92110	0.13	0.82	907	744	-163
0011	3F	126	3754	406	375400	325520	-49880	0.11	0.87	664	576	-88
0011	3F	134	6092	935	609200	502310	-106890	0.15	0.82	1078	889	-189
0011	3F	135	3454	387	345400	270130	-75270	0.11	0.78	611	478	-133
0011	3F	136	2481	231	248100	183480	-64620	0.09	0.74	439	324	-115
0011	3F	145	2322	226	232200	186500	-45700	0.10	0.80	410	330	-80
0011	3F	146	1455	115	145500	113680	-31820	0.08	0.78	257	201	-56
0011	3F	156	716	59	71600	63660	-7940	0.08	0.89	126	112	-14
0011	3F	234	481	50	48100	32900	-15200	0.10	0.68	85	58	-27
0011	3F	235	381	42	38100	27790	-10310	0.11	0.73	67	49	-18
0011	3F	236	299	30	29900	29010	-890	0.10	0.97	52	51	-1
0011	3F	245	244	12	24400	18560	-5840	0.05	0.76	43	32	-11
0011	3F	246	189	8	18900	5260	-13640	0.04	0.28	33	9	-24
0011	3F	256	157	9	15700	6790	-8910	0.06	0.43	27	12	-15
0011	3T	123	7111	741	711100	708110	-2990	0.10	1.00	1258	1253	-5
0011	3T	124	6179	502	617900	535750	-82150	0.08	0.87	1093	948	-145
0011	3T	125	3953	242	395300	360020	-35280	0.06	0.91	699	637	-62
0011	3T	126	2977	152	297700	264070	-33630	0.05	0.89	526	467	-59
0011	3T	132	3783	253	378300	325620	-52680	0.07	0.86	669	576	-93
0011	3T	134	3863	283	386300	400630	14330	0.07	1.04	683	709	26
0011	3T	135	2616	122	261600	187890	-73710	0.05	0.72	463	332	-131
0011	3T	136	2042	74	204200	141720	-62480	0.04	0.69	361	250	-111
0011	3T	142	2248	126	224800	168440	-56360	0.06	0.75	397	298	-99
0011	3T	143	2229	101	222900	183160	-39740	0.05	0.82	394	324	-70
0011	3T	145	1628	59	162800	100110	-62690	0.04	0.61	288	177	-111
0011	3T	146	1131	42	113100	78770	-34330	0.04	0.70	200	139	-61
0011	3T	152	769	31	76900	62650	-14250	0.04	0.81	136	110	-26
0011	3T	153	838	21	83800	38370	-45430	0.03	0.46	148	67	-81
0011	3T	154	694	18	69400	68480	-920	0.03	0.99	122	121	-1
0011	3T	156	486	14	48600	38650	-9950	0.03	0.80	86	68	-18
0011	3T	162	392	14	39200	67250	28050	0.04	1.72	69	119	50
0011	3T	163	439	17	43900	31570	-12330	0.04	0.72	77	55	-22
0011	3T	164	324	9	32400	37210	4810	0.03	1.15	57	65	8
0011	3T	165	230	6	23000	39700	16700	0.03	1.73	40	70	30
0011	3T	213	479	31	47900	47360	-540	0.06	0.99	84	83	-1
0011	3T	214	479	21	47900	37510	-10390	0.04	0.78	84	66	-18
0011	3T	215	336	12	33600	21240	-12360	0.04	0.63	59	37	-22
0011	3T	216	337	13	33700	34590	890	0.04	1.03	59	61	2
0011	3T	231	157	3	15700	6310	-9390	0.02	0.40	27	11	-16
0011	3T	234	311	7	31100	17110	-13990	0.02	0.55	55	30	-25
0011	3T	235	256	6	25600	12500	-13100	0.02	0.49	45	22	-23
0011	3T	236	214	7	21400	46390	24990	0.03	2.17	37	82	45
0011	3T	241	110	1	11000	1010	-9990	0.01	0.09	19	1	-18
0011	3T	243	170	8	17000	17660	660	0.05	1.04	30	31	1
0011	3T	245	143	1	14300	72950	58650	0.01	5.10	25	129	104
0011	3T	246	123	3	12300	6350	-5950	0.02	0.52	21	11	-10
0011	3T	251	69	0	6900	0	-6900	0.00	0.00	12	0	-12
0011	3T	253	125	3	12500	8610	-3890	0.02	0.69	22	15	-7
0011	3T	254	101	1	10100	5630	-4470	0.01	0.56	17	9	-8
0011	3T	256	96	0	9600	0	-9600	0.00	0.00	16	0	-16
0011	3T	261	48	2	4800	16730	11930	0.04	3.49	8	29	21
0011	3T	263	85	3	8500	10520	2020	0.04	1.24	15	18	3
0011	3T	264	66	1	6600	2820	-3780	0.02	0.43	11	4	-7
0011	3T	265	61	0	6100	0	-6100	0.00	0.00	10	0	-10
0037	1T	1	67030	38572	6703000	6161870	-541130	0.58	0.92	11863	10905	-958
0037	1T	2	5878	2318	587800	542810	-44990	0.39	0.92	1040	960	-80
0037	2F	12	38547	12502	3854700	3263120	-591580	0.32	0.85	6822	5775	-1047
0037	2F	13	15622	4848	1562200	1248500	-313700	0.31	0.80	2764	2209	-555
0037	2F	14	8338	2295	833800	627900	-205900	0.28	0.75	1475	1111	-364
0037	2F	15	1906	414	190600	152550	-38050	0.22	0.80	337	270	-67
0037	2F	16	1667	316	166700	148670	-18030	0.19	0.89	295	263	-32
0037	2F	23	369	75	36900	24980	-11920	0.20	0.68	65	44	-21
0037	2F	24	325	67	32500	27410	-5090	0.21	0.84	57	48	-9
0037	2F	25	263	39	26300	15580	-10720	0.15	0.59	46	27	-19
0037	2F	26	361	57	36100	26850	-9250	0.16	0.74	63	47	-16
0037	2T	12	38463	9347	3846300	3127070	-719230	0.24	0.81	6807	5534	-1273
0037	2T	13	15622	3467	1562200	1196970	-365230	0.22	0.77	2764	2118	-646
0037	2T	14	8338	1650	833800	646690	-187110	0.20	0.78	1475	1144	-331
0037	2T	15	1906	282	190600	149640	-40960	0.15	0.79	337	264	-73
0037	2T	16	1667	218	166700	151060	-15640	0.13	0.91	295	267	-28
0037	2T	21	84	10	8400	9740	1340	0.12	1.16	14	17	3
0037	2T	23	369	33	36900	19390	-17510	0.09	0.53	65	34	-31
0037	2T	24	325	44	32500	29190	-3310	0.14	0.90	57	51	-6
0037	2T	25	263	23	26300	16040	-10260	0.09	0.61	46	28	-18
0037	2T	26	361	31	36100	25750	-10350	0.09	0.71	63	45	-18
0037	3F	123	9324	2354	932400	762210	-170190	0.25	0.82	1650	1349	-301
0037	3F	124	16244	3340	1624400	1245790	-378610	0.21	0.77	2875	2204	-671
0021	1T	1	61576	36899	6157600	5676480	-481120	0.60	0.92	10898	10046	-852
0021	1T	2	8446	3177	844600	777100	-67500	0.38	0.92	1494	1375	-119
0021	2F	12	32911	11114	3291100	2822620	-468480	0.34	0.86	5824	4995	-829
0021	2F	13	16253	5036	1625300	1328730	-296570	0.31	0.82	2876	2351	-525
0021	2F	14	7846	2249	784600	600970	-183630	0.29	0.77	1388	1063	-325
0021	2F	15	1999	461	199900	164320	-35580	0.23	0.82	353	290	-63
0021	2F	16	1446	287	144600	134740	-9860	0.20	0.93	255	238	-17
0021	2F	23	666	153	66600	57300	-9300	0.23	0.86	117	101	-16
0021	2F	24	554	114	55400	48260	-7140	0.21	0.87	98	85	-13
0021	2F	25	362	55	36200	27320	-8880	0.15	0.75	64	48	-16
0021	2F	26	496	78	49600	36910	-12690	0.16	0.74	87	65	-22
0021	2T	12	32250	8356	3225000	2667310	-557690	0.26	0.83	5707	4720	-987
0021	2T	13	16253	3667	1625300	1267840	-357460	0.23	0.78	2876	2243	-633
0021	2T	14	7846	1639	784600	614090	-170510	0.21	0.78	1388	1086	-302
0021	2T	15	1999	332	199900	174060	-25840	0.17	0.87	353	308	-45
0021	2T	16	1446	201	144600	138120	-6480	0.14	0.96	255	244	-11
0021	2T	21	661	75	66100	61230	-4870	0.11	0.93	116	108	-8
0021	2T	23	666	95	66600	57980	-8620	0.14	0.87	117	102	-15
0021	2T	24	554	65	55400	41320	-14080	0.12	0.75	98	73	-25
0021	2T	25	362	32	36200	28770	-7430	0.09	0.79	64	50	-14
0021	2T	26	496	45	49600	33110	-16490	0.09	0.67	87	58	-29
0021	3F	123	8654	2214	865400	716290	-149110	0.26	0.83	1531	1267	-264
0021	3F	124	11065	2365	1106500	820120	-286380	0.21	0.74	1958	1451	-507
0021	3F	125	5934	1081	593400	461350	-132050	0.18	0.78	1050	816	-234
0021	3F	126	6120	873	612000	540820	-71180	0.14	0.88	1083	957	-126
0021	3F	134	4879	1048	487900	372730	-115170	0.21	0.76	863	659	-204
0021	3F	135	3537	655	353700	256460	-97240	0.19	0.73	626	453	-173
0021	3F	136	3363	446	336300	252570	-83730	0.13	0.75	595	447	-148
0021	3F	145	1594	273	159400	110650	-48750	0.17	0.69	282	195	-87
0021	3F	146	1341	184	134100	113520	-20580	0.14	0.85	237	200	-37
0021	3F	156	435	60	43500	31210	-12290	0.14	0.72	76	55	-21
0021	3F	234	134	27	13400	11730	-1670	0.20	0.88	23	20	-3
0021	3F	235	227	42	22700	17100	-5600	0.19	0.75	40	30	-10
0021	3F	236	199	33	19900	20170	270	0.17	1.01	35	35	0
0021	3F	245	178	24	17800	9860	-7940	0.13	0.55	31	17	-14
0021	3F	246	142	17	14200	9700	-4500	0.12	0.68	25	17	-8
0021	3F	256	91	11	9100	6360	-2740	0.12	0.70	16	11	-5
0021	3T	123	8601	1000	860100	718400	-141700	0.12	0.84	1522	1271	-251
0021	3T	124	10933	1010	1093300	798780	-294520	0.09	0.73	1935	1413	-522
0021	3T	125	5778	448	577800	458940	-118860	0.08	0.79	1022	812	-210
0021	3T	126	5724	365	572400	547360	-25040	0.06	0.96	1013	968	-45
0021	3T	132	36	2	3600	1860	-1740	0.06	0.52	6	3	-3
0021	3T	134	4634	423	463400	361440	-101960	0.09	0.78	820	639	-181
0021	3T	135	3519	277	351900	257750	-94150	0.08	0.73	622	456	-166
0021	3T	136	3347	212	334700	289980	-44720	0.06	0.87	592	513	-79
0021	3T	142	39	7	3900	5170	1270	0.18	1.33	6	9	3
0021	3T	143	245	18	24500	24170	-330	0.07	0.99	43	42	-1
0021	3T	145	1567	93	156700	114380	-42320	0.06	0.73	277	202	-75
0021	3T	146	1326	67	132600	100340	-32260	0.05	0.76	234	177	-57
0021	3T	152	1	0	100	0	-100	0.00	0.00	0	0	0
0021	3T	153	18	0	1800	0	-1800	0.00	0.00	3	0	-3
0021	3T	154	27	4	2700	4830	2130	0.15	1.79	4	8	4
0021	3T	156	427	24	42700	39890	-2810	0.06	0.93	75	70	-5
0021	3T	163	16	0	1600	0	-1600	0.00	0.00	2	0	-2
0021	3T	164	15	2	1500	2120	620	0.13	1.41	2	3	1
0021	3T	165	8	0	800	0	-800	0.00	0.00	1	0	-1
0021	3T	213	17	1	1700	560	-1140	0.06	0.33	3	0	-3
0021	3T	214	93	4	9300	4310	-4990	0.04	0.46	16	7	-9
0021	3T	215	155	6	15500	14490	-1010	0.04	0.93	27	25	-2
0021	3T	216	396	14	39600	46560	6960	0.04	1.18	70	82	12
0021	3T	234	134	8	13400	11510	-1890	0.06	0.86	23	20	-3
0021	3T	235	226	12	22600	19560	-3040	0.05	0.87	40	34	-6
0021	3T	236	198	13	19800	17230	-2570	0.07	0.87	35	30	-5
0021	3T	245	178	6	17800	8620	-9180	0.03	0.48	31	15	-16
0021	3T	246	142	3	14200	5670	-8530	0.02	0.40	25	10	-15
0021	3T	253	1	0	100	0	-100	0.00	0.00	0	0	0
0021	3T	256	89	1	8900	8720	-180	0.01	0.98	15	15	0
0021	3T	263	1	0	100	0	-100	0.00	0.00	0	0	0
0021	3T	265	2	0	200	0	-200	0.00	0.00	0	0	0
0037	3F	125	6075	1071	607500	497080	-110420	0.18	0.82	1075	879	-196
0037	3F	126	5487	737	548700	451530	-97170	0.13	0.82	971	799	-172
0037	3F	134	6244	1366	624400	493140	-131260	0.22	0.79	1105	872	-233
0037	3F	135	3234	616	323400	234730	-88670	0.19	0.73	572	415	-157
0037	3F	136	3149	457	314900	243800	-71100	0.15	0.77	557	431	-126
0037	3F	145	1290	233	129000	90410	-38590	0.18	0.70	228	160	-68
0037	3F	146	1160	167	116000	86480	-29520	0.14	0.75	205	153	-52
